subject_id,timestamp,hr,hrv,steps,sleep_flag,device_model
subj_01,2025-05-01T00:43:00,55,63,0,1,model_X
subj_01,2025-05-01T00:44:00,56,25,17,1,model_X
subj_01,2025-05-01T00:45:00,70,34,0,1,model_X
subj_01,2025-05-01T00:46:00,72,56,0,1,model_X
subj_01,2025-05-01T00:47:00,76,61,13,1,model_X
subj_01,2025-05-01T00:48:00,82,39,7,1,model_X
subj_01,2025-05-01T00:49:00,75,34,1,1,model_X
subj_01,2025-05-01T00:50:00,57,58,11,1,model_X
subj_01,2025-05-01T00:51:00,53,21,11,1,model_X
subj_01,2025-05-01T00:52:00,81,30,0,1,model_X
subj_01,2025-05-01T00:53:00,61,66,15,1,model_X
subj_01,2025-05-01T00:54:00,75,43,2,1,model_X
subj_01,2025-05-01T00:55:00,65,38,0,1,model_X
subj_01,2025-05-01T00:56:00,74,66,0,1,model_X
subj_01,2025-05-01T00:57:00,66,53,0,1,model_X
subj_01,2025-05-01T00:58:00,85,57,2,1,model_X
subj_01,2025-05-01T00:59:00,64,47,24,1,model_X
subj_01,2025-05-01T01:00:00,87,79,1,1,model_X
subj_01,2025-05-01T01:01:00,56,74,7,1,model_X
subj_01,2025-05-01T01:02:00,70,32,0,1,model_X
subj_01,2025-05-01T01:03:00,75,54,0,1,model_X
subj_01,2025-05-01T01:04:00,69,51,0,1,model_X
subj_01,2025-05-01T01:05:00,78,52,0,1,model_X
subj_01,2025-05-01T01:06:00,70,68,1,1,model_X
subj_01,2025-05-01T01:07:00,47,45,11,1,model_X
subj_01,2025-05-01T01:08:00,75,57,5,1,model_X
subj_01,2025-05-01T01:09:00,75,41,10,1,model_X
subj_01,2025-05-01T01:10:00,81,48,0,1,model_X
subj_01,2025-05-01T01:11:00,73,65,0,1,model_X
subj_01,2025-05-01T01:12:00,70,54,0,1,model_X
subj_01,2025-05-01T01:13:00,66,66,15,1,model_X
subj_01,2025-05-01T01:14:00,75,43,6,1,model_X
subj_01,2025-05-01T01:15:00,63,74,0,1,model_X
subj_01,2025-05-01T01:16:00,64,49,0,1,model_X
subj_01,2025-05-01T01:17:00,60,66,0,1,model_X
subj_01,2025-05-01T01:18:00,79,37,0,1,model_X
subj_01,2025-05-01T01:19:00,62,59,0,1,model_X
subj_01,2025-05-01T01:20:00,67,67,0,1,model_X
subj_01,2025-05-01T01:21:00,68,60,12,1,model_X
subj_01,2025-05-01T01:22:00,79,63,0,1,model_X
subj_01,2025-05-01T01:23:00,66,42,0,1,model_X
subj_01,2025-05-01T01:24:00,67,63,8,1,model_X
subj_01,2025-05-01T01:25:00,59,85,0,1,model_X
subj_01,2025-05-01T01:26:00,88,57,4,1,model_X
subj_01,2025-05-01T01:27:00,94,44,11,1,model_X
subj_01,2025-05-01T01:28:00,66,54,15,1,model_X
subj_01,2025-05-01T01:29:00,75,41,27,1,model_X
subj_01,2025-05-01T01:30:00,54,39,0,1,model_X
subj_01,2025-05-01T01:31:00,66,41,24,1,model_X
subj_01,2025-05-01T01:32:00,76,58,22,1,model_X
subj_01,2025-05-01T01:33:00,64,40,7,1,model_X
subj_01,2025-05-01T01:34:00,77,62,24,1,model_X
subj_01,2025-05-01T01:35:00,65,64,25,1,model_X
subj_01,2025-05-01T01:36:00,64,48,0,1,model_X
subj_01,2025-05-01T01:37:00,65,69,37,1,model_X
subj_01,2025-05-01T01:38:00,71,52,8,1,model_X
subj_01,2025-05-01T01:39:00,56,45,0,1,model_X
subj_01,2025-05-01T01:40:00,58,38,0,1,model_X
subj_01,2025-05-01T01:41:00,57,31,11,1,model_X
subj_01,2025-05-01T01:42:00,59,46,33,1,model_X
subj_01,2025-05-01T01:43:00,67,49,13,1,model_X
subj_01,2025-05-01T01:44:00,82,50,25,1,model_X
subj_01,2025-05-01T01:45:00,66,16,20,1,model_X
subj_01,2025-05-01T01:46:00,65,66,5,1,model_X
subj_01,2025-05-01T01:47:00,58,45,28,1,model_X
subj_01,2025-05-01T01:48:00,63,60,17,1,model_X
subj_01,2025-05-01T01:49:00,66,51,0,1,model_X
subj_01,2025-05-01T01:50:00,67,16,17,1,model_X
subj_01,2025-05-01T01:51:00,78,61,0,1,model_X
subj_01,2025-05-01T01:52:00,53,49,0,1,model_X
subj_01,2025-05-01T01:53:00,62,69,6,1,model_X
subj_01,2025-05-01T01:54:00,89,36,0,1,model_X
subj_01,2025-05-01T01:55:00,69,50,11,1,model_X
subj_01,2025-05-01T01:56:00,66,51,0,1,model_X
subj_01,2025-05-01T01:57:00,53,64,0,1,model_X
subj_01,2025-05-01T01:58:00,81,31,31,1,model_X
subj_01,2025-05-01T01:59:00,56,42,0,1,model_X
subj_01,2025-05-01T02:00:00,54,75,2,1,model_X
subj_01,2025-05-01T02:01:00,60,70,0,1,model_X
subj_01,2025-05-01T02:02:00,62,65,0,1,model_X
subj_01,2025-05-01T02:03:00,54,65,10,1,model_X
subj_01,2025-05-01T02:04:00,53,46,9,1,model_X
subj_01,2025-05-01T02:05:00,68,73,6,1,model_X
subj_01,2025-05-01T02:06:00,63,51,12,1,model_X
subj_01,2025-05-01T02:07:00,64,57,0,1,model_X
subj_01,2025-05-01T02:08:00,79,78,0,1,model_X
subj_01,2025-05-01T02:09:00,75,72,2,1,model_X
subj_01,2025-05-01T02:10:00,56,33,6,1,model_X
subj_01,2025-05-01T02:11:00,67,42,1,1,model_X
subj_01,2025-05-01T02:12:00,82,42,0,1,model_X
subj_01,2025-05-01T02:13:00,67,44,0,1,model_X
subj_01,2025-05-01T02:14:00,67,51,17,1,model_X
subj_01,2025-05-01T02:15:00,63,47,13,1,model_X
subj_01,2025-05-01T02:16:00,68,63,23,1,model_X
subj_01,2025-05-01T02:17:00,78,41,4,1,model_X
subj_01,2025-05-01T02:18:00,80,61,4,1,model_X
subj_01,2025-05-01T02:19:00,70,61,23,1,model_X
subj_01,2025-05-01T02:20:00,55,51,25,1,model_X
subj_01,2025-05-01T02:21:00,67,74,1,1,model_X
subj_01,2025-05-01T02:22:00,84,59,0,1,model_X
subj_01,2025-05-01T02:23:00,63,55,10,1,model_X
subj_01,2025-05-01T02:24:00,82,31,12,1,model_X
subj_01,2025-05-01T02:25:00,86,41,11,1,model_X
subj_01,2025-05-01T02:26:00,65,65,9,1,model_X
subj_01,2025-05-01T02:27:00,66,84,0,1,model_X
subj_01,2025-05-01T02:28:00,90,62,0,1,model_X
subj_01,2025-05-01T02:29:00,69,67,25,1,model_X
subj_01,2025-05-01T02:30:00,69,49,19,1,model_X
subj_01,2025-05-01T02:31:00,55,47,3,1,model_X
subj_01,2025-05-01T02:32:00,51,45,0,1,model_X
subj_01,2025-05-01T02:33:00,59,45,0,1,model_X
subj_01,2025-05-01T02:34:00,89,68,10,1,model_X
subj_01,2025-05-01T02:35:00,74,59,0,1,model_X
subj_01,2025-05-01T02:36:00,69,55,0,1,model_X
subj_01,2025-05-01T02:37:00,75,28,6,1,model_X
subj_01,2025-05-01T02:38:00,67,55,0,1,model_X
subj_01,2025-05-01T02:39:00,84,52,0,1,model_X
subj_01,2025-05-01T02:40:00,75,51,10,1,model_X
subj_01,2025-05-01T02:41:00,71,52,0,1,model_X
subj_01,2025-05-01T02:42:00,54,30,6,1,model_X
subj_01,2025-05-01T02:43:00,69,52,27,1,model_X
subj_01,2025-05-01T02:44:00,62,39,0,1,model_X
subj_01,2025-05-01T02:45:00,54,55,14,1,model_X
subj_01,2025-05-01T02:46:00,78,39,14,1,model_X
subj_01,2025-05-01T02:47:00,62,68,8,1,model_X
subj_01,2025-05-01T02:48:00,74,53,18,1,model_X
subj_01,2025-05-01T02:49:00,52,61,26,1,model_X
subj_01,2025-05-01T02:50:00,76,89,13,1,model_X
subj_01,2025-05-01T02:51:00,74,50,13,1,model_X
subj_01,2025-05-01T02:52:00,69,39,0,1,model_X
subj_01,2025-05-01T02:53:00,78,50,5,1,model_X
subj_01,2025-05-01T02:54:00,80,71,0,1,model_X
subj_01,2025-05-01T02:55:00,79,79,10,1,model_X
subj_01,2025-05-01T02:56:00,73,55,30,1,model_X
subj_01,2025-05-01T02:57:00,80,70,25,1,model_X
subj_01,2025-05-01T02:58:00,78,39,0,1,model_X
subj_01,2025-05-01T02:59:00,86,31,6,1,model_X
subj_01,2025-05-01T03:00:00,65,48,0,1,model_X
subj_01,2025-05-01T03:01:00,77,56,2,1,model_X
subj_01,2025-05-01T03:02:00,87,55,9,1,model_X
subj_01,2025-05-01T03:03:00,62,48,0,1,model_X
subj_01,2025-05-01T03:04:00,76,21,20,1,model_X
subj_01,2025-05-01T03:05:00,79,28,0,1,model_X
subj_01,2025-05-01T03:06:00,56,64,0,1,model_X
subj_01,2025-05-01T03:07:00,66,65,0,1,model_X
subj_01,2025-05-01T03:08:00,65,46,0,1,model_X
subj_01,2025-05-01T03:09:00,74,59,13,1,model_X
subj_01,2025-05-01T03:10:00,58,74,14,1,model_X
subj_01,2025-05-01T03:11:00,64,47,0,1,model_X
subj_01,2025-05-01T03:12:00,78,38,3,1,model_X
subj_01,2025-05-01T03:13:00,65,43,0,1,model_X
subj_01,2025-05-01T03:14:00,63,66,0,1,model_X
subj_01,2025-05-01T03:15:00,72,61,0,1,model_X
subj_01,2025-05-01T03:16:00,71,33,0,1,model_X
subj_01,2025-05-01T03:17:00,74,60,7,1,model_X
subj_01,2025-05-01T03:18:00,73,36,0,1,model_X
subj_01,2025-05-01T03:19:00,67,43,0,1,model_X
subj_01,2025-05-01T03:20:00,82,72,19,1,model_X
subj_01,2025-05-01T03:21:00,78,47,1,1,model_X
subj_01,2025-05-01T03:22:00,69,32,0,1,model_X
subj_01,2025-05-01T03:23:00,69,38,25,1,model_X
subj_01,2025-05-01T03:24:00,59,55,0,1,model_X
subj_01,2025-05-01T03:25:00,69,54,8,1,model_X
subj_01,2025-05-01T03:26:00,92,70,23,1,model_X
subj_01,2025-05-01T03:27:00,58,38,5,1,model_X
subj_01,2025-05-01T03:28:00,72,53,0,1,model_X
subj_01,2025-05-01T03:29:00,61,36,16,1,model_X
subj_01,2025-05-01T03:30:00,65,50,25,1,model_X
subj_01,2025-05-01T03:31:00,69,62,3,1,model_X
subj_01,2025-05-01T03:32:00,70,61,0,1,model_X
subj_01,2025-05-01T03:33:00,71,55,24,1,model_X
subj_01,2025-05-01T03:34:00,62,63,46,1,model_X
subj_01,2025-05-01T03:35:00,55,40,11,1,model_X
subj_01,2025-05-01T03:36:00,74,60,0,1,model_X
subj_01,2025-05-01T03:37:00,70,75,14,1,model_X
subj_01,2025-05-01T03:38:00,78,36,20,1,model_X
subj_01,2025-05-01T03:39:00,74,52,0,1,model_X
subj_01,2025-05-01T03:40:00,68,28,15,1,model_X
subj_01,2025-05-01T03:41:00,82,55,13,1,model_X
subj_01,2025-05-01T03:42:00,97,72,0,1,model_X
subj_01,2025-05-01T03:43:00,63,64,0,1,model_X
subj_01,2025-05-01T03:44:00,83,59,14,1,model_X
subj_01,2025-05-01T03:45:00,59,34,14,1,model_X
subj_01,2025-05-01T03:46:00,58,59,11,1,model_X
subj_01,2025-05-01T03:47:00,58,65,12,1,model_X
subj_01,2025-05-01T03:48:00,79,34,16,1,model_X
subj_01,2025-05-01T03:49:00,68,38,12,1,model_X
subj_01,2025-05-01T03:50:00,72,53,1,1,model_X
subj_01,2025-05-01T03:51:00,70,45,1,1,model_X
subj_01,2025-05-01T03:52:00,59,55,16,1,model_X
subj_01,2025-05-01T03:53:00,54,74,16,1,model_X
subj_01,2025-05-01T03:54:00,78,69,0,1,model_X
subj_01,2025-05-01T03:55:00,51,56,36,1,model_X
subj_01,2025-05-01T03:56:00,66,16,12,1,model_X
subj_01,2025-05-01T03:57:00,61,45,1,1,model_X
subj_01,2025-05-01T03:58:00,57,69,17,1,model_X
subj_01,2025-05-01T03:59:00,65,63,13,1,model_X
subj_01,2025-05-01T04:00:00,71,41,22,1,model_X
subj_01,2025-05-01T04:01:00,80,80,6,1,model_X
subj_01,2025-05-01T04:02:00,83,48,2,1,model_X
subj_01,2025-05-01T04:03:00,64,42,0,1,model_X
subj_01,2025-05-01T04:04:00,75,55,0,1,model_X
subj_01,2025-05-01T04:05:00,76,61,0,1,model_X
subj_01,2025-05-01T04:06:00,67,50,0,1,model_X
subj_01,2025-05-01T04:07:00,51,42,10,1,model_X
subj_01,2025-05-01T04:08:00,64,43,25,1,model_X
subj_01,2025-05-01T04:09:00,72,40,17,1,model_X
subj_01,2025-05-01T04:10:00,71,50,17,1,model_X
subj_01,2025-05-01T04:11:00,58,56,6,1,model_X
subj_01,2025-05-01T04:12:00,79,35,11,1,model_X
subj_01,2025-05-01T04:13:00,70,46,0,1,model_X
subj_01,2025-05-01T04:14:00,69,50,46,1,model_X
subj_01,2025-05-01T04:15:00,58,73,12,1,model_X
subj_01,2025-05-01T04:16:00,83,72,0,1,model_X
subj_01,2025-05-01T04:17:00,53,55,8,1,model_X
subj_01,2025-05-01T04:18:00,73,25,22,1,model_X
subj_01,2025-05-01T04:19:00,70,54,20,1,model_X
subj_01,2025-05-01T04:20:00,62,34,13,1,model_X
subj_01,2025-05-01T04:21:00,64,48,2,1,model_X
subj_01,2025-05-01T04:22:00,58,45,0,1,model_X
subj_01,2025-05-01T04:23:00,75,41,25,1,model_X
subj_01,2025-05-01T04:24:00,61,59,0,1,model_X
subj_01,2025-05-01T04:25:00,76,43,3,1,model_X
subj_01,2025-05-01T04:26:00,64,87,0,1,model_X
subj_01,2025-05-01T04:27:00,63,47,0,1,model_X
subj_01,2025-05-01T04:28:00,84,51,5,1,model_X
subj_01,2025-05-01T04:29:00,77,61,3,1,model_X
subj_01,2025-05-01T04:30:00,57,45,0,1,model_X
subj_01,2025-05-01T04:31:00,84,61,0,1,model_X
subj_01,2025-05-01T04:32:00,62,48,10,1,model_X
subj_01,2025-05-01T04:33:00,66,24,0,1,model_X
subj_01,2025-05-01T04:34:00,59,40,5,1,model_X
subj_01,2025-05-01T04:35:00,75,59,0,1,model_X
subj_01,2025-05-01T04:36:00,77,71,28,1,model_X
subj_01,2025-05-01T04:37:00,75,48,21,1,model_X
subj_01,2025-05-01T04:38:00,79,48,0,1,model_X
subj_01,2025-05-01T04:39:00,77,56,0,1,model_X
subj_01,2025-05-01T04:40:00,94,45,20,1,model_X
subj_01,2025-05-01T04:41:00,52,52,0,1,model_X
subj_01,2025-05-01T04:42:00,65,27,25,1,model_X
subj_01,2025-05-01T04:43:00,72,22,2,1,model_X
subj_01,2025-05-01T04:44:00,62,52,12,1,model_X
subj_01,2025-05-01T04:45:00,66,61,26,1,model_X
subj_01,2025-05-01T04:46:00,60,59,0,1,model_X
subj_01,2025-05-01T04:47:00,71,53,0,1,model_X
subj_01,2025-05-01T04:48:00,73,56,18,1,model_X
subj_01,2025-05-01T04:49:00,78,63,6,1,model_X
subj_01,2025-05-01T04:50:00,57,35,15,1,model_X
subj_01,2025-05-01T04:51:00,83,55,8,1,model_X
subj_01,2025-05-01T04:52:00,68,50,15,1,model_X
subj_01,2025-05-01T04:53:00,76,38,12,1,model_X
subj_01,2025-05-01T04:54:00,82,51,3,1,model_X
subj_01,2025-05-01T04:55:00,71,57,18,1,model_X
subj_01,2025-05-01T04:56:00,67,45,0,1,model_X
subj_01,2025-05-01T04:57:00,71,40,0,1,model_X
subj_01,2025-05-01T04:58:00,78,63,0,1,model_X
subj_01,2025-05-01T04:59:00,71,59,28,1,model_X
subj_01,2025-05-01T05:00:00,64,26,0,1,model_X
subj_01,2025-05-01T05:01:00,81,50,20,1,model_X
subj_01,2025-05-01T05:02:00,67,53,3,1,model_X
subj_01,2025-05-01T05:03:00,81,85,24,1,model_X
subj_01,2025-05-01T05:04:00,53,52,31,1,model_X
subj_01,2025-05-01T05:05:00,72,55,0,1,model_X
subj_01,2025-05-01T05:06:00,76,53,26,1,model_X
subj_01,2025-05-01T05:07:00,61,41,11,1,model_X
subj_01,2025-05-01T05:08:00,80,13,17,1,model_X
subj_01,2025-05-01T05:09:00,56,31,0,1,model_X
subj_01,2025-05-01T05:10:00,60,40,20,1,model_X
subj_01,2025-05-01T05:11:00,68,64,0,1,model_X
subj_01,2025-05-01T05:12:00,69,50,0,1,model_X
subj_01,2025-05-01T05:13:00,64,52,13,1,model_X
subj_01,2025-05-01T05:14:00,74,46,0,1,model_X
subj_01,2025-05-01T05:15:00,63,53,0,1,model_X
subj_01,2025-05-01T05:16:00,81,93,0,1,model_X
subj_01,2025-05-01T05:17:00,69,41,18,1,model_X
subj_01,2025-05-01T05:18:00,89,72,10,1,model_X
subj_01,2025-05-01T05:19:00,65,56,13,1,model_X
subj_01,2025-05-01T05:20:00,65,53,10,1,model_X
subj_01,2025-05-01T05:21:00,63,69,7,1,model_X
subj_01,2025-05-01T05:22:00,80,63,4,1,model_X
subj_01,2025-05-01T05:23:00,60,41,20,1,model_X
subj_01,2025-05-01T05:24:00,77,33,22,1,model_X
subj_01,2025-05-01T05:25:00,62,36,21,1,model_X
subj_01,2025-05-01T05:26:00,65,53,0,1,model_X
subj_01,2025-05-01T05:27:00,61,50,0,1,model_X
subj_01,2025-05-01T05:28:00,69,63,13,1,model_X
subj_01,2025-05-01T05:29:00,67,39,0,1,model_X
subj_01,2025-05-01T05:30:00,74,50,0,1,model_X
subj_01,2025-05-01T05:31:00,88,79,6,1,model_X
subj_01,2025-05-01T05:32:00,69,76,34,1,model_X
subj_01,2025-05-01T05:33:00,65,53,1,1,model_X
subj_01,2025-05-01T05:34:00,51,50,5,1,model_X
subj_01,2025-05-01T05:35:00,62,76,22,1,model_X
subj_01,2025-05-01T05:36:00,63,22,0,1,model_X
subj_01,2025-05-01T05:37:00,79,63,19,1,model_X
subj_01,2025-05-01T05:38:00,70,79,15,1,model_X
subj_01,2025-05-01T05:39:00,63,44,6,1,model_X
subj_01,2025-05-01T05:40:00,74,59,2,1,model_X
subj_01,2025-05-01T05:41:00,79,47,8,1,model_X
subj_01,2025-05-01T05:42:00,73,54,22,1,model_X
subj_01,2025-05-01T05:43:00,70,18,27,1,model_X
subj_01,2025-05-01T05:44:00,63,69,15,1,model_X
subj_01,2025-05-01T05:45:00,67,26,0,1,model_X
subj_01,2025-05-01T05:46:00,60,24,4,1,model_X
subj_01,2025-05-01T05:47:00,78,53,0,1,model_X
subj_01,2025-05-01T05:48:00,57,52,15,1,model_X
subj_01,2025-05-01T05:49:00,56,57,0,1,model_X
subj_01,2025-05-01T05:50:00,69,57,22,1,model_X
subj_01,2025-05-01T05:51:00,59,41,18,1,model_X
subj_01,2025-05-01T05:52:00,75,60,7,1,model_X
subj_01,2025-05-01T05:53:00,79,60,20,1,model_X
subj_01,2025-05-01T05:54:00,71,37,6,1,model_X
subj_01,2025-05-01T05:55:00,56,82,0,1,model_X
subj_01,2025-05-01T05:56:00,70,46,0,1,model_X
subj_01,2025-05-01T05:57:00,40,62,8,1,model_X
subj_01,2025-05-01T05:58:00,67,55,5,1,model_X
subj_01,2025-05-01T05:59:00,84,93,14,1,model_X
subj_01,2025-05-01T06:00:00,78,49,16,1,model_X
subj_01,2025-05-01T06:01:00,61,47,4,1,model_X
subj_01,2025-05-01T06:02:00,72,95,11,1,model_X
subj_01,2025-05-01T06:03:00,90,67,22,1,model_X
subj_01,2025-05-01T06:04:00,71,65,17,1,model_X
subj_01,2025-05-01T06:05:00,77,47,5,1,model_X
subj_01,2025-05-01T06:06:00,67,73,28,1,model_X
subj_01,2025-05-01T06:07:00,77,21,0,1,model_X
subj_01,2025-05-01T06:08:00,56,50,3,1,model_X
subj_01,2025-05-01T06:09:00,79,45,0,1,model_X
subj_01,2025-05-01T06:10:00,52,19,15,1,model_X
subj_01,2025-05-01T06:11:00,68,66,8,1,model_X
subj_01,2025-05-01T06:12:00,68,55,0,1,model_X
subj_01,2025-05-01T06:13:00,57,82,20,1,model_X
subj_01,2025-05-01T06:14:00,70,52,0,1,model_X
subj_01,2025-05-01T06:15:00,64,46,4,1,model_X
subj_01,2025-05-01T06:16:00,70,47,20,1,model_X
subj_01,2025-05-01T06:17:00,72,53,6,1,model_X
subj_01,2025-05-01T06:18:00,76,31,2,1,model_X
subj_01,2025-05-01T06:19:00,78,36,20,1,model_X
subj_01,2025-05-01T06:20:00,64,56,24,1,model_X
subj_01,2025-05-01T06:21:00,80,39,4,1,model_X
subj_01,2025-05-01T06:22:00,44,52,0,1,model_X
subj_01,2025-05-01T06:23:00,62,48,4,1,model_X
subj_01,2025-05-01T06:24:00,90,73,0,1,model_X
subj_01,2025-05-01T06:25:00,75,57,8,1,model_X
subj_01,2025-05-01T06:26:00,65,36,0,1,model_X
subj_01,2025-05-01T06:27:00,76,51,1,1,model_X
subj_01,2025-05-01T06:28:00,65,78,0,1,model_X
subj_01,2025-05-01T06:29:00,81,49,0,1,model_X
subj_01,2025-05-01T06:30:00,64,43,12,1,model_X
subj_01,2025-05-01T06:31:00,65,73,0,1,model_X
subj_01,2025-05-01T06:32:00,68,62,11,1,model_X
subj_01,2025-05-01T06:33:00,80,81,16,1,model_X
subj_01,2025-05-01T06:34:00,76,36,1,1,model_X
subj_01,2025-05-01T06:35:00,85,54,12,1,model_X
subj_01,2025-05-01T06:36:00,60,67,3,1,model_X
subj_01,2025-05-01T06:37:00,75,73,17,1,model_X
subj_01,2025-05-01T06:38:00,83,43,2,1,model_X
subj_01,2025-05-01T06:39:00,52,53,22,1,model_X
subj_01,2025-05-01T06:40:00,46,48,15,1,model_X
subj_01,2025-05-01T06:41:00,64,93,7,1,model_X
subj_01,2025-05-01T06:42:00,85,20,30,1,model_X
subj_01,2025-05-01T06:43:00,67,39,6,1,model_X
subj_01,2025-05-01T06:44:00,67,59,5,1,model_X
subj_01,2025-05-01T06:45:00,61,39,6,1,model_X
subj_01,2025-05-01T06:46:00,63,57,0,1,model_X
subj_01,2025-05-01T06:47:00,59,42,12,1,model_X
subj_01,2025-05-01T06:48:00,78,52,0,1,model_X
subj_01,2025-05-01T06:49:00,60,59,0,1,model_X
subj_01,2025-05-01T06:50:00,76,68,0,1,model_X
subj_01,2025-05-01T06:51:00,88,60,28,1,model_X
subj_01,2025-05-01T06:52:00,56,68,0,1,model_X
subj_01,2025-05-01T06:53:00,64,30,13,1,model_X
subj_01,2025-05-01T06:54:00,81,70,20,1,model_X
subj_01,2025-05-01T06:55:00,50,91,0,1,model_X
subj_01,2025-05-01T06:56:00,72,42,0,1,model_X
subj_01,2025-05-01T06:57:00,53,51,11,1,model_X
subj_01,2025-05-01T06:58:00,91,80,0,1,model_X
subj_01,2025-05-01T06:59:00,73,54,0,1,model_X
subj_01,2025-05-01T07:00:00,64,54,0,0,model_X
subj_01,2025-05-01T07:01:00,76,43,11,0,model_X
subj_01,2025-05-01T07:02:00,74,50,23,0,model_X
subj_01,2025-05-01T07:03:00,75,57,0,0,model_X
subj_01,2025-05-01T07:04:00,66,62,7,0,model_X
subj_01,2025-05-01T07:05:00,71,54,3,0,model_X
subj_01,2025-05-01T07:06:00,65,44,13,0,model_X
subj_01,2025-05-01T07:07:00,79,58,0,0,model_X
subj_01,2025-05-01T07:08:00,69,26,2,0,model_X
subj_01,2025-05-01T07:09:00,61,41,0,0,model_X
subj_01,2025-05-01T07:10:00,53,15,16,0,model_X
subj_01,2025-05-01T07:11:00,71,51,11,0,model_X
subj_01,2025-05-01T07:12:00,71,41,19,0,model_X
subj_01,2025-05-01T07:13:00,63,44,0,0,model_X
subj_01,2025-05-01T07:14:00,84,43,23,0,model_X
subj_01,2025-05-01T07:15:00,75,70,0,0,model_X
subj_01,2025-05-01T07:16:00,62,46,1,0,model_X
subj_01,2025-05-01T07:17:00,67,58,15,0,model_X
subj_01,2025-05-01T07:18:00,58,55,0,0,model_X
subj_01,2025-05-01T07:19:00,68,63,10,0,model_X
subj_01,2025-05-01T07:20:00,62,35,0,0,model_X
subj_01,2025-05-01T07:21:00,76,77,9,0,model_X
subj_01,2025-05-01T07:22:00,69,90,0,0,model_X
subj_01,2025-05-01T07:23:00,57,35,0,0,model_X
subj_01,2025-05-01T07:24:00,72,64,6,0,model_X
subj_01,2025-05-01T07:25:00,64,34,0,0,model_X
subj_01,2025-05-01T07:26:00,59,70,14,0,model_X
subj_01,2025-05-01T07:27:00,71,45,0,0,model_X
subj_01,2025-05-01T07:28:00,75,69,2,0,model_X
subj_01,2025-05-01T07:29:00,69,69,0,0,model_X
subj_01,2025-05-01T07:30:00,81,68,0,0,model_X
subj_01,2025-05-01T07:31:00,68,34,6,0,model_X
subj_01,2025-05-01T07:32:00,77,63,0,0,model_X
subj_01,2025-05-01T07:33:00,59,63,8,0,model_X
subj_01,2025-05-01T07:34:00,85,56,21,0,model_X
subj_01,2025-05-01T07:35:00,64,72,29,0,model_X
subj_01,2025-05-01T07:36:00,55,48,0,0,model_X
subj_01,2025-05-01T07:37:00,69,65,0,0,model_X
subj_01,2025-05-01T07:38:00,70,24,0,0,model_X
subj_01,2025-05-01T07:39:00,86,82,12,0,model_X
subj_01,2025-05-01T07:40:00,65,33,0,0,model_X
subj_01,2025-05-01T07:41:00,89,57,1,0,model_X
subj_01,2025-05-01T07:42:00,69,50,0,0,model_X
subj_01,2025-05-01T07:43:00,66,70,0,0,model_X
